"14eme","14éme"
"déporté","déportés"
"déposées","déposée"
"dépouiller","dépouillement"
"dépréciations","dépréciation"
"députés","député"
"dérivations","dérivation"
"dérive","dérives"
"dériveurs","dériveur"
"dérogation","dérogations"
"dérouleur","dérouleuse"
"dérouleuses","dérouleuse"
"désaccord","désaccords"
"désertique","désertiques"
"déshydraté","déshydratés"
"désir","désire"
"désireuse","désire"
"désireuses","désireuse"
"déstockages","déstockage"
"détacher","détachage"
"détacheur","détacheuse"
"détectée","détectées"
"détendeur","détendeurs"
"détenue","détenu"
"détenues","détenu"
"déterminé","déterminée"
"détruit","détruite"
"développeuse","développeur"
"déversements","déversement"
"déversoir","déversoirs"
"dévoiements","dévoiement"
"dévoué","dévouée"
"dîners","dîner"
"e-reputation","e-réputation"
"ec","éc"
"ech","éch"
"echangeur","échangeur"
"echangeurs","échangeurs"
"echappements","échappements"
"echecs","échecs"
"eclairage","éclairage"
"eclipse","éclipse"
"ecluses","écluses"
"ecolabel","écolabel"
"ecole","école"
"ecoles","écoles"
"economat","économat"
"econome","économe"
"economie-gestion","économie-gestion"
"economies","économies"
"economiste","économiste"
"economistes","économistes"
"ecoquartier","écoquartier"
"ecosse","écosse"
"ecotrophelia","écotrophélia"
"ecoulements","écoulements"
"ecoute","écoute"
"ecouter","écouter"
"ecrans","écrans"
"ecrit","écrit"
"ecriture","écriture"
"ecritures","écritures"
"ecrivain","écrivain"
"ecurie","écurie"
"ed","éd"
"edimbourg","édimbourg"
"editeurs","éditeurs"
"edouard","édouard"
"educateur","éducateur"
"educatrice","éducatrice"
"efficiences","efficience"
"efficientes","efficiente"
"eglise","église"
"egypte","égypte"
"elaboration","élaboration"
"elaborations","élaborations"
"elabore","élabore"
"elaguer","élaguer"
"elancourt","élancourt"
"ele","élé"
"election","élection"
"elections","élections"
"electricien","électricien"
"electricienne","électricienne"
"electrique","électrique"
"electriques","électriques"
"electrochimie","électrochimie"
"electrode","électrode"
"electrolytes","électrolytes"
"electronicien","électronicien"
"element","elément"
"elevages","élevages"
"elu","élu"
"elue","élue"
"elysee","élysée"
"elysees","élysées"
"emballeur","emballeuse"
"emballeuse","emballer"
"emballé","emballer"
"emballés","emballé"
"embauches","embauche"
"emblématique","emblématiques"
"embruns","embrun"
"emetteur","émetteur"
"emile","émile"
"emirats","émirats"
"employée","employé"
"emports","emport"
"emprise","emprises"
"emprunt","emprunts"
"emprunteurs","emprunteur"
"encadrante","encadrant"
"encart","encarts"
"enchainement","enchaînement"
"encoder","encodage"
"encodeur","encodeurs"
"encorbellements","encorbellement"
"encourageant","encourager"
"encouru","encourus"
"endommagements","endommagement"
"endurant","endurante"
"energetique","énergetique"
"energie","énergie"
"enfouissements","enfouissement"
"engagée","engagé"
"engendrer","engendré"
"engendré","engendrés"
"enjoliveur","enjoliveurs"
"enquêteur","enquêtrice"
"enregistreuses","enregistreuse"
"enrichie","enrichi"
"enrichies","enrichie"
"enrichis","enrichi"
"enrichissant","enrichissante"
"enrichissantes","enrichissante"
"enrobé","enrobés"
"enrobée","enrobées"
"enseignante","enseignant"
"enseigné","enseignés"
"enseignée","enseigné"
"ensemencements","ensemencement"
"entamé","entamer"
"enter","enteur"
"enterré","enterrés"
"enterrée","enterrées"
"enterrées","enterrés"
"enteur","ente"
"enthousiasme","enthousiasmé"
"entourée","entouré"
"entrainant","entraînant"
"entrainements","entraînements"
"entraineur","entraîneur"
"entrante","entrantes"
"entraîne","entraîneuse"
"entraîneuse","entraîneur"
"entremet","entremets"
"entreprenante","entreprenant"
"entreprend","entreprends"
"envergures","envergure"
"envies","envie"
"envisagé","envisagés"
"envisagée","envisagées"
"enzymatiques","enzymatique"
"enzyme","enzymes"
"eolien","éolien"
"eolienne","éolienne"
"eoliens","éoliens"
"epanouissement","épanouissement"
"epargne","épargne"
"epauler","épauler"
"epicerie","épicerie"
"epiceries","épiceries"
"epices","épices"
"epicurien","épicurien"
"epinal","épinal"
"epine","épine"
"epoxy","époxy"
"eqh","éqh"
"equateur","équateur"
"equatoriale","équatoriale"
"equipementier","équipementier"
"equipes","équipes"
"equipier","équipier"
"equitable","équitable"
"equitation","équitation"
"er","ér"
"eradication","éradication"
"ergonomiques","ergonomique"
"errant","errants"
"erronée","erronées"
"escamotables","escamotable"
"esclaves","esclave"
"escomptes","escompte"
"esitpa","ésitpa"
"esprits","esprit"
"essaadi","essaâdi"
"essayeurs","essayeur"
"essential","essentials"
"essuie-glaces","essuie-glace"
"estacades","estacade"
"este","estee"
"ester","esters"
"esthéticienne","esthéticien"
"estimée","estimées"
"estimés","estimé"
"estivale","estivales"
"etain","étain"
"etalagiste","étalagiste"
"etat-major","état-major"
"etats-unis","états-unis"
"ethanol","éthanol"
"ethernet","éthernet"
"ethiopie","éthiopie"
"ethique","éthique"
"etienne","étienne"
"etoiles","étoilés"
"etroite","étroite"
"etude","étude"
"etudes","études"
"etudiant","étudiant"
"etudiante","étudiante"
"euroserum","eurosérum"
"eus","euse"
"evalua","évalua"
"evaluateur","évaluateur"
"evaporateur","évaporateur"
"evaporation","évaporation"
"evasion","évasion"
"evenementiel","évenementiel"
"evenements","évenements"
"evian","évian"
"evreux","évreux"
"evry","évry"
"examiné","examinés"
"excavations","excavation"
"excavatrice","excavatrices"
"excellentes","excellente"
"excursion","excursions"
"excédent","excédents"
"exe","exé"
"exec","exéc"
"executif","exécutif"
"executive","exécutive"
"exhibitions","exhibition"
"exigée","exigé"
"exonérations","exonération"
"expatriations","expatriation"
"expatriée","expatrié"
"expedia","expédia"
"explicatif","explicatifs"
"explicative","explicatif"
"explicatives","explicative"
"exploitable","exploitables"
"exploitante","exploitant"
"exploratoires","exploratoire"
"exponentielle","exponentiel"
"exporter","exportateur"
"exporté","exportés"
"exposant","exposants"
"exposante","exposant"
"expose","exposé"
"exprimé","exprimés"
"exprimée","exprimé"
"exprimées","exprimée"
"expédié","expédiés"
"expériences","expérience"
"extincteur","extincteurs"
"extinctions","extinction"
"extracteurs","extracteur"
"extraite","extraites"
"extraordinaire","extraordinaires"
"extras","extra"
"extrémités","extrémité"
"exécutifs","exécutif"
"facilitatrice","facilitateur"
"facilitée","facilité"
"facilités","facilité"
"factorielle","factorielles"
"factors","factor"
"factuel","factuelle"
"facturations","facturation"
"facturés","facturé"
"faculte","faculté"
"failles","faille"
"falaises","falaise"
"familiarisé","familiarisée"
"fantaisies","fantaisie"
"fantastiques","fantastique"
"farines","farine"
"fascicules","fascicule"
"fatales","fatale"
"fauche","fauché"
"faute","fautes"
"favori","favoris"
"faïences","faïence"
"federateur","fédérateur"
"fendeur","fendeuse"
"feriana","fériana"
"ferment","ferments"
"fermenté","fermentés"
"fermier","fermiers"
"ferrites","ferrite"
"ferronnière","ferronnier"
"ferrures","ferrure"
"fertilisant","fertiliser"
"fertiliser","fertilisants"
"festif","festive"
"festivals","festival"
"festive","festifs"
"festives","festive"
"feuillet","feuillette"
"feuillets","feuillette"
"feuilletées","feuilletée"
"fiabilise","fiabilisé"
"fiats","fiat"
"fibré","fibrés"
"fictif","fictive"
"fictions","fiction"
"fidelio","fidélio"
"fideliser","fidéliser"
"figurante","figurant"
"figurines","figurine"
"filaires","filaire"
"fileur","fileuse"
"filles","fille"
"filoguidé","filoguidés"
"finisseuse","finisseur"
"finlandaise","finlandais"
"firmes","firme"
"fiscale","fiscales"
"fiscalistes","fiscaliste"
"fixé","fixés"
"flacon","flacons"
"flammes","flamme"
"flasque","flasques"
"fleurie","fleuri"
"florales","florale"
"flottantes","flottante"
"flottants","flottant"
"flotteurs","flotteur"
"fluctuation","fluctuations"
"fluorescente","fluorescentes"
"fluorescentes","fluorescent"
"fluorescents","fluorescent"
"fluorure","fluorures"
"flute","flûte"
"focalisant","focalisation"
"focaliser","focalisant"
"foies","foie"
"folies","folie"
"fonctionnaire","fonctionnaires"
"fondamental","fondamentale"
"fondatrice","fondateur"
"fonder","fondement"
"fondeuse","fondeur"
"fondue","fondu"
"fondus","fondu"
"fongecif","fongécif"
"fongiques","fongique"
"footballeurs","footballeur"
"forcé","forcée"
"forcées","forcée"
"forestières","forestière"
"foreur","foreuse"
"forfaitaires","forfaitaire"
"forgeron","forgeronne"
"forges","forgés"
"formalismes","formalisme"
"formations","formation"
"formatrice","formateur"
"formel","formels"
"formelles","formelle"
"formulé","formulés"
"forums","forum"
"fosses","fosse"
"fossile","fossiles"
"fougeres","fougères"
"foulée","foulées"
"fourches","fourche"
"fourgon","fourgons"
"fourneau","fourneaux"
"fournisseur","fournisseurs"
"fourrage","fourrages"
"fourragère","fourragères"
"fourrures","fourrure"
"fourrées","fourrée"
"fractale","fractales"
"fraction","fractions"
"fragment","fragments"
"fragrances","fragrance"
"fraiche","fraîche"
"fraiches","fraîches"
"fraiseur","fraiseuse"
"franceetranger","franceétranger"
"franchise","franchisé"
"franco-allemande","franco-allemand"
"franco-allemands","franco-allemand"
"fraîche","fraîches"
"frederic","fréderic"
"freres","frères"
"fresenius","frésénius"
"friche","friches"
"frictions","friction"
"fromage","fromages"
"fromager","fromagère"
"fromagere","fromagère"
"fromageries","fromagerie"
"fromagers","fromager"
"fromagères","fromagère"
"frottements","frottement"
"fruitier","fruitiere"
"fruitiere","fruitière"
"fruitiers","fruitière"
"fruitières","fruitière"
"fréquent","fréquents"
"fumés","fumé"
"funiculaires","funiculaire"
"funéraire","funéraires"
"fuselages","fuselage"
"fusiliers","fusilier"
"fusionne","fusionné"
"fusionnent","fusionner"
"fusionné","fusionnée"
"fusées","fusée"
"fédérale","fédéral"
"fédérant","fédérer"
"fédérateur","fédérer"
"fédératrice","fédérateur"
"fédéraux","fédéral"
"félicitation","félicitations"
"féminine","féminin"
"féminines","féminin"
"gabes","gabès"
"gabion","gabions"
"gabès","gabés"
"gagnante","gagnant"
"gaillarde","gaillard"
"galas","gala"
"galette","galettes"
"galle","galles"
"galvanisée","galvanisé"
"games","game"
"garante","garant"
"garanti","garantis"
"garantissant","garantir"
"gardienne","gardien"
"garni","garnis"
"garçons","garçon"
"gastro-entérologue","gastro-entérologues"
"gaufrettes","gaufrette"
"gaules","gaule"
"gaulles","gaulle"
"gazoducs","gazoduc"
"gazons","gazon"
"gazéifier","gazéifieur"
"geant","géant"
"gemalto","gémalto"
"gendarmes","gendarme"
"gene","géné"
"generali","générali"
"generaux","généraux"
"generix","générix"
"genie","génie"
"genio","génio"
"genopole","génopole"
"geode","géode"
"geodis","géodis"
"geomensura","géomensura"
"gerbers","gerber"
"gerin","gérin"
"germaine","germain"
"germanique","germaniques"
"germanophone","germanophones"
"gicleur","gicleurs"
"giratoires","giratoire"
"girl","girls"
"gites","gîtes"
"glaces","glacés"
"glacé","glacée"
"glaçages","glaçage"
"glissements","glissement"
"gobelet","gobelets"
"gommes","gomme"
"gondole","gondoles"
"gorge","gorges"
"goulet","goulets"
"goulot","goulots"
"goulotte","goulottes"
"gourmande","gourmandes"
"gourmandes","gourmand"
"gourmandise","gourmandises"
"gourmands","gourmand"
"gourmets","gourmet"
"gout","goût"
"gouts","goûts"
"goutte","gouttes"
"gouvernant","gouvernante"
"gouvernementale","gouvernementales"
"gouvernes","gouverne"
"goûters","goûter"
"gradients","gradient"
"graisse","graisses"
"graisseur","graisseurs"
"granite","granit"
"granulé","granulés"
"graphe","graphes"
"graphistes","graphiste"
"gratuite","gratuit"
"gratuits","gratuit"
"graver","gravage"
"graveurs","graveur"
"graveuse","graveur"
"gravière","gravier"
"grecques","grecque"
"greffière","greffier"
"grenaille","grenailleuse"
"griffes","griffe"
"grillade","grillades"
"grillages","grillage"
"groupages","groupage"
"grutière","grutier"
"grèves","grève"
"gu","gü"
"gueret","guéret"
"guichetière","guichetier"
"guindeau","guindeaux"
"guinee","guinée"
"gustatif","gustatifs"
"gymnases","gymnase"
"gynécologue","gynécologues"
"gyroscopes","gyroscope"
"gâteau","gâteaux"
"gène","gènes"
"gélule","gélules"
"géluleuse","gélule"
"génomes","génome"
"génotype","génotypes"
"généralisé","généraliser"
"généralisée","généralisées"
"génératrice","générateur"
"génératrices","génératrice"
"généticienne","généticien"
"géographes","géographe"
"géologues","géologue"
"géomètres","géomètre"
"géopolitiques","géopolitique"
"géothermiques","géothermique"
"gérante","gérant"
"gîte","gîtes"
"habilitation","habilitations"
"habille","habilleuse"
"habilleur","habilleuse"
"habitacles","habitacle"
"habituel","habituels"
"habituée","habitué"
"hacheurs","hacheur"
"haché","hachés"
"hameau","hameaux"
"hanches","hanche"
"handicape","handicapes"
"handicapé","handicapées"
"handicapée","handicapé"
"handicapées","handicapés"
"hangars","hangar"
"hanoi","hanoï"
"haricot","haricots"
"harmonique","harmoniques"
"hauban","haubans"
"hediard","hédiard"
"herbicide","herbicides"
"hercules","hercule"
"hermes","hermès"
"hermétique","hermétiques"
"hertziennes","hertzienne"
"heuristique","heuristiques"
"hippique","hippiques"
"hippodromes","hippodrome"
"hispaniques","hispanique"
"hollandaise","hollandais"
"hollandaises","hollandaise"
"homogènes","homogène"
"hongroise","hongrois"
"honore","honoré"
"honorée","honoré"
"hopital","hôpital"
"hopitaux","hôpitaux"
"horlogers","horloger"
"hormonale","hormonal"
"hormone","hormones"
"hostiles","hostile"
"hotel","hôtel"
"hotellerie","hotêllerie"
"hotesse","hôtesse"
"hotte","hottes"
"houillères","houillère"
"housse","housses"
"hublot","hublots"
"huileuse","huileuses"
"huissiers","huissier"
"huissière","huissier"
"huitres","huîtres"
"hydrate","hydrates"
"hydraulicienne","hydraulicien"
"hydriques","hydrique"
"hydro-électriques","hydro-électrique"
"hydrostatique","hydrostatiques"
"hygiéniques","hygiénique"
"hyperion","hypérion"
"hypermarche","hypermarché"
"hypermarché","hypermarchés"
"hypothèse","hypothèses"
"hère","hères"
"hébergeant","hébergeur"
"héberger","hébergé"
"hébergé","hébergeur"
"hébergées","hébergée"
"hébergés","hébergée"
"hélices","hélice"
"héliporté","héliportés"
"hépatiques","hépatique"
"hépatites","hépatite"
"iberica","ibérica"
"ibériques","ibérique"
"identifié","identifiés"
"ieseg","iéseg"
"iles","îles"
"illumination","illuminations"
"illustrant","illustrer"
"illustrateur","illustrateurs"
"illustratrice","illustrateur"
"illustrer","illustration"
"ilots","îlots"
"imageurs","imageur"
"immatériels","immatériel"
"immobilier","immobilière"
"immobilisé","immobilisée"
"immobilisés","immobilisée"
"immunitaires","immunitaire"
"immunités","immunité"
"immunologiques","immunologique"
"immédiats","immédiat"
"imparti","impartis"
"impayé","impayés"
"implantable","implantables"
"implantée","implanté"
"implantées","implanté"
"impliquée","impliqué"
"imprimeuse","imprimeur"
"imprégné","imprégner"
"imprégnés","imprégné"
"imprévu","imprévus"
"imputations","imputation"
"inactif","inactifs"
"inaptitudes","inaptitude"
"inaugurations","inauguration"
"incertains","incertain"
"incertitude","incertitudes"
"incidences","incidence"
"incitation","incitations"
"inclinés","incliné"
"incohérence","incohérences"
"incompressibles","incompressible"
"indemniser","indemnisation"
"indemnité","indemnités"
"indiqués","indiqué"
"indisponibilités","indisponibilité"
"individualisés","individualisé"
"inductifs","inductif"
"inductive","inductif"
"induite","induit"
"induites","induite"
"indéterminé","indéterminée"
"ineo","inéo"
"inertiel","inertiels"
"inertielles","inertielle"
"inertiels","inertielle"
"inexcusable","inexcusables"
"inexistante","inexistant"
"infantiles","infantile"
"infectieuse","infectieuses"
"inferieur","inférieur"
"infiltrations","infiltration"
"infirmière","infirmier"
"influenceur","influencer"
"informaticienne","informaticien"
"informels","informel"
"infusions","infusion"
"ingenieur","ingénieur"
"ingenieurs","ingénieurs"
"ingerop","ingérop"
"ingénieure","ingénieur"
"inhibiteur","inhibiteurs"
"inhibitrice","inhibiteur"
"inhibitrices","inhibitrice"
"inhumer","inhumation"
"inhérent","inhérente"
"inhérente","inhérents"
"inhérentes","inhérents"
"initiatrice","initiateur"
"injectable","injectables"
"injecteur","injecteurs"
"injecté","injectées"
"injectée","injecté"
"injectés","injecté"
"injonction","injonctions"
"innothera","innothéra"
"inondable","inondables"
"inondation","inondations"
"inorganique","inorganiques"
"inoxydables","inoxydable"
"insatisfactions","insatisfaction"
"insert","inserts"
"insoluble","insolubles"
"inspectrice","inspecteur"
"inspectés","inspecté"
"inspirant","inspirer"
"inspiration","inspirer"
"inspirent","inspirer"
"inspiré","inspirée"
"instabilité","instabilités"
"installatrice","installateur"
"instants","instant"
"instaurant","instaurer"
"instaurer","instauration"
"institutrice","instituteur"
"instructrice","instructeur"
"insuffisante","insuffisant"
"insulaires","insulaire"
"inte","inté"
"intendante","intendant"
"intensifs","intensif"
"intensités","intensité"
"interactives","intéractives"
"interceptrice","intercepteur"
"intercommunal","intercommunale"
"intercommunaux","intercommunal"
"interculturelle","interculturel"
"interculturels","interculturel"
"interdépendance","interdépendances"
"interet","interêt"
"interets","interêts"
"interfacé","interfacer"
"interférence","interférences"
"interim","intérim"
"interimaires","intérimaires"
"intermittent","intermittents"
"internes","interne"
"interrupteur","interrupteurs"
"intervalles","intervalle"
"interview","interviews"
"interêts","intérets"
"intestinal","intestinale"
"intranets","intranet"
"intrusions","intrusion"
"intuitif","intuitive"
"intégrations","intégration"
"intégratrice","intégrateur"
"intéressantes","intéressante"
"intéressants","intéressant"
"intéressements","intéressement"
"intéresser","intéressant"
"intéressée","intéressé"
"inventive","inventif"
"inversement","inverser"
"inverseurs","inverseur"
"inversions","inversion"
"inversé","inversée"
"investie","investi"
"investigateur","investigateurs"
"investissement","investissements"
"investisseur","investisseurs"
"invitation","invitations"
"invitée","invité"
"invitées","invitée"
"inédits","inédit"
"ionisant","ionisants"
"iranienne","iranien"
"iraniens","iranien"
"irlandaise","irlandais"
"iseries","iséries"
"isolante","isolantes"
"isolantes","isolant"
"isolateur","isolateurs"
"isolés","isolé"
"isométrique","isométriques"
"isotopiques","isotopique"
"itinérante","itinérant"
"jalon","jalons"
"jambons","jambon"
"japonaises","japonaise"
"jardineries","jardinerie"
"jardiniers","jardinier"
"jardinière","jardinier"
"jauges","jauge"
"jetable","jetables"
"joaillière","joaillier"
"joint-ventures","joint-venture"
"jointe","jointes"
"joli","jolie"
"jonctions","jonction"
"jongleur","jongle"
"joueuse","joueur"
"journaliers","journalier"
"journalière","journalier"
"joystick","joysticks"
"juges","juge"
"jurisprudences","jurisprudence"
"jurys","jury"
"justifications","justification"
"kaizen","kaïzen"
"kakemono","kakémono"
"karate","karaté"
"kelio","kélio"
"kenitra","kénitra"
"keolis","kéolis"
"kilomètre","kilomètres"
"kinases","kinase"
"kinés","kiné"
"klepierre","klépierre"
"kone","koné"
"labels","label"
"laborantine","laborantin"
"labour","laboure"
"laboure","labouré"
"lactique","lactiques"
"laisse","laissé"
"laiteries","laiterie"
"laitières","laitière"
"lama","lamas"
"laminaires","laminaire"
"lamine","laminé"
"laminé","laminés"
"lancés","lancé"
"lao","laos"
"lapins","lapin"
"latente","latent"
"latérales","latérale"
"latéraux","latéral"
"lauréate","lauréat"
"laveries","laverie"
"laveur","laveuse"
"laveurs","laveur"
"layers","layer"
"lefevre","lefèvre"
"legionella","légionella"
"lenteur","lente"
"leo","léo"
"leonard","léonard"
"leoni","léoni"
"lessives","lessive"
"lettrages","lettrage"
"leucémies","leucémie"
"levains","levain"
"levures","levure"
"levy","lévy"
"liasse","liasses"
"liberia","libéria"
"libraires","libraire"
"libérale","libéral"
"libérations","libération"
"libératoire","libératoires"
"libérer","libération"
"licenciements","licenciement"
"licenciée","licencié"
"licenciés","licencié"
"lieutenante","lieutenant"
"lignée","lignées"
"linéaires","linéaire"
"liqueur","liqueurs"
"liquidateur","liquidation"
"liquider","liquidateur"
"liquéfiés","liquéfié"
"lissés","lissé"
"listant","lister"
"listeria","listéria"
"litre","litres"
"littorale","littoral"
"littoraux","littoral"
"livreuse","livreur"
"lloyds","lloyd"
"lo","lô"
"localité","localités"
"locatif","locative"
"locomotive","locomotives"
"lofts","loft"
"loge","loges"
"logiciel","logiciels"
"logisticienne","logisticien"
"logos","logo"
"lome","lôme"
"longitudinale","longitudinal"
"lotissements","lotissement"
"loue","loué"
"loueuse","loueur"
"loués","loué"
"luberon","lubéron"
"luce","lucé"
"lues","lue"
"luminaire","luminaires"
"lunes","lune"
"luthier","luthière"
"luxembourgeoises","luxembourgeoise"
"lycee","lycée"
"lycée","lyçée"
"lycéen","lycéens"
"lycéenne","lycéen"
"lymphome","lymphomes"
"législative","législatives"
"macaron","macarons"
"mache","mâche"
"machinistes","machiniste"
"macros","macro"
"magasines","magasine"
"magasinière","magasinier"
"magasins","magasin"
"magazines","magazine"
"magelis","magélis"
"maghrébine","maghrébines"
"magique","magiques"
"magistral","magistraux"
"magistrate","magistrat"
"magnetisme","magnétisme"
"magnétoscopes","magnétoscope"
"maia","maïa"
"mailings","mailing"
"maillons","maillon"
"maillots","maillot"
"mails","mail"
"maintenue","maintenu"
"maitre","maître"
"maitres","maîtres"
"maitrisant","maîtrisant"
"maitrise","maîtrise"
"maitrises","maîtrises"
"malgaches","malgache"
"malien","maliens"
"malienne","maliens"
"mammifère","mammifères"
"mandant","mandants"
"manettes","manette"
"manga","mangas"
"manganese","manganèse"
"mangues","mangue"
"manipulatrice","manipulateur"
"manufacturers","manufacturer"
"maquilleurs","maquilleur"
"maquilleuse","maquilleur"
"marathons","marathon"
"maraîcher","maraîchage"
"maraîchers","maraîcher"
"marchandiseuse","marchandiseur"
"marchands","marchand"
"marchant","marcher"
"marchés","marché"
"maree","marée"
"mares","mare"
"margarines","margarine"
"marges","marge"
"mariage","mariages"
"marinade","marinades"
"mariniers","marinier"
"marinière","marinier"
"marionnette","marionnettes"
"maris","mari"
"marketing","markéting"
"marketings","marketing"
"maroquinière","maroquinier"
"marquant","marquante"
"marques","marque"
"marquis","marquise"
"marseillaise","marseillais"
"marteaux","marteau"
"martial","martiaux"
"martiniquaises","martiniquaise"
"masculine","masculin"
"masculins","masculin"
"masquages","masquage"
"massages","massage"
"mastere","mastère"
"mastics","mastic"
"maternel","maternelle"
"math","maths"
"mathe","mathé"
"mathématique","mathématiques"
"matinée","matinées"
"matters","matter"
"maure","maures"
"mauvais","mauvaise"
"maximisation","maximiser"
"mayonnaises","mayonnaise"
"maçonne","maçon"
"maçonner","maçonnage"
"maçons","maçon"
"maîtrisée","maîtrisé"
"mecaplast","mécaplast"
"mediane","médiane"
"medica","médica"
"medication","médication"
"medicine","médicine"
"medico-social","médico-social"
"medina","médina"
"mediterranee","méditerranée"
"meetings","meeting"
"mehari","méhari"
"melons","melon"
"membranaires","membranaire"
"membrane","membranes"
"memorandum","mémorandum"
"menard","ménard"
"mensuelle","mensuel"
"mensuelles","mensuel"
"mensuels","mensuel"
"mentalité","mentalités"
"menu","menus"
"menuisière","menuisier"
"mercié","mercier"
"mercuriale","mercuriales"
"merial","mérial"
"mery","méry"
"mesurable","mesurables"
"mesuré","mesurés"
"mesurées","mesurée"
"mesurés","mesurée"
"meta","méta"
"meta4","méta4"
"metaphase","métaphase"
"meteor","météor"
"methodique","méthodique"
"metreur","métreur"
"metteuse","metteur"
"meuleuse","meule"
"mexico","méxico"
"micro-onde","micro-ondes"
"microbiennes","microbienne"
"microphones","microphone"
"microprocesseurs","microprocesseur"
"microscopies","microscopie"
"microscopiques","microscopique"
"microstructures","microstructure"
"millenium","millénium"
"milliard","milliards"
"millimétriques","millimétrique"
"million","millions"
"miniatures","miniature"
"minibar","minibars"
"minime","minimes"
"minimisation","minimiser"
"ministérielle","ministériel"
"minoritaires","minoritaire"
"minutieuse","minutie"
"miroirs","miroir"
"miser","misant"
"missile","missiles"
"missions","mission"
"mixer","mixage"
"mobilisant","mobiliser"
"mobilisateur","mobiliser"
"mobilise","mobilisé"
"mobilisé","mobiliser"
"mobilisés","mobilisé"
"modeleuse","modeleur"
"modems","modem"
"modestes","modeste"
"modifiées","modifiée"
"modulateur","modulateurs"
"module","modules"
"modélisée","modélisé"
"modélisées","modélisée"
"modérer","modération"
"moissons","moisson"
"mole","môle"
"moleculaire","moléculaire"
"molle","molles"
"moléculaires","moléculaire"
"mondelez","mondelèz"
"monitrice","moniteur"
"monoclonal","monoclonaux"
"monocylindre","monocylindres"
"monographie","monographies"
"monopoles","monopole"
"montante","montantes"
"monte-charges","monte-charge"
"monteuse","monteur"
"montrant","montrer"
"montré","montrer"
"monture","montures"
"moquettes","moquette"
"moratoire","moratoires"
"morceau","morceaux"
"mortiers","mortier"
"mortuaire","mortuaires"
"motarde","motard"
"motards","motard"
"motivant","motiver"
"motivante","motivant"
"motivants","motivant"
"motivee","motivée"
"motivée","motivé"
"mouleuse","mouleur"
"moulée","moulées"
"moulés","moulé"
"mous","mouse"
"mousquetaire","mousquetaires"
"moutarde","moutardes"
"moutons","mouton"
"mouvant","mouvants"
"moyeux","moyeu"
"mozaik","mozaïk"
"mueslis","muesli"
"muffin","muffins"
"multicellulaires","multicellulaire"
"multicouche","multicouches"
"multiculturelle","multiculturelles"
"multiculturelles","multiculturel"
"multiculturels","multiculturel"
"multidimensionnel","multidimensionnels"
"multidimensionnelles","multidimensionnelle"
"multidimensionnels","multidimensionnelle"
"multidisciplinaire","multidisciplinaires"
"multifonctionnel","multifonctionnelle"
"multiplexe","multiplexé"
"multiplexeur","multiplexés"
"multiplexé","multiplexés"
"multiplicateur","multiplicateurs"
"multiplier","multiplié"
"multipliée","multiplié"
"multipliés","multiplié"
"multirisque","multirisques"
"multitâches","multitâche"
"municipalités","municipalité"
"mural","muraux"
"murins","murin"
"musee","muse"
"museum","muséum"
"musicienne","musicien"
"musiciens","musicien"
"mutant","mutants"
"muter","muté"
"mutualite","mutualité"
"mutuelles","mutuelle"
"mystères","mystère"
"mâchefer","mâchefers"
"mécanicienne","mécanicien"
"mécanos","mécano"
"mécène","mécènes"
"mécénats","mécénat"
"médaillée","médaillé"
"médiateurs","médiateur"
"médiatrice","médiateur"
"médicamenteuse","médicamenteuses"
"médico-sociaux","médico-social"
"méditerranéenne","méditerranéen"
"méditerranéennes","méditerranéenne"
"méditerranéens","méditerranéen"
"médiéval","médiévale"
"médiévaux","médiéval"
"mémo","mémos"
"mémorandums","mémorandum"
"ménagère","ménagères"
"métabolique","métaboliques"
"métabolismes","métabolisme"
"méthodistes","méthodiste"
"métreuse","métreur"
"métros","métro"
"nage","nageur"
"nager","nagement"
"nageurs","nageur"
"nageuse","nageur"
"naissant","naissante"
"nanotechnologie","nanotechnologies"
"nantaises","nantaise"
"nantissement","nantissements"
"nappages","nappage"
"natal","natale"
"native","natif"
"naturaliser","naturalisation"
"navigatrice","navigateur"
"negocia","négocia"
"neo","néo"
"neocase","néocase"
"neolane","néolane"
"nettes","nette"
"nettoyeuse","nettoyeur"
"nettoyé","nettoyés"
"neurologiques","neurologique"
"neuronal","neuronale"
"neuronaux","neuronale"
"neuroscience","neurosciences"
"neutrino","neutrinos"
"neutron","neutrons"
"nids","nid"
"nieur","niéur"
"nigeria","nigéria"
"nil","nile"
"nitrate","nitrates"
"niéur","nie"
"nocifs","nocif"
"noel","noël"
"nominale","nominal"
"nominatives","nominative"
"nord-américains","nord-américain"
"normatif","normative"
"notaire","notaires"
"notifications","notification"
"notifié","notifiés"
"novateurs","novateur"
"nuages","nuage"
"numericable","numéricâble"
"numéricâble","numéricable"
"numérisé","numérisés"
"numérisée","numérisé"
"nutritionnel","nutritionnelle"
"nutritionnelles","nutritionnelle"
"nutritionnistes","nutritionniste"
"négociante","négociant"
"négociations","négociation"
"négociatrice","négociateur"
"négocier","négociation"
"négocié","négociés"
"négociée","négociées"
"négociées","négociés"
"néon","néons"
"objection","objections"
"obligataire","obligataires"
"oblige","obligé"
"observatrice","observateur"
"observe","observé"
"observé","observée"
"observée","observés"
"obsolescences","obsolescence"
"obsolète","obsolètes"
"obstacle","obstacles"
"obèse","obèses"
"occurrences","occurrence"
"oceane","océane"
"offerte","offert"
"officines","officine"
